Customer ID,Customer Type,Personality,House Size,Key Desires,Future Plan,Main Activity,Budget,Preferred Style,Purchase Frequency,Recommendation Score,Customer Reviews,Suggested Products
28,Member,Practical,Large House,Comfort,Work from home,Exercising,Medium,Cozy,Occasionally,24,-0.38,"['Padded Dining Chair', 'Adjustable Standing Desk']"
29,Normal,Practical,Small Apartment,Comfort,Move,Watching TV,Medium,Luxurious,Monthly,43,-0.67,"['Compact Shoe Rack', '6-Piece Outdoor Dining Set']"
30,Member,Trendy,Medium House,Comfort,Move,Watching TV,High,Minimalist,Occasionally,39,-0.88,"['Sliding Door Wardrobe', 'Compact Shoe Rack']"
31,Normal,Minimalist,Small Apartment,Aesthetic,Travel,Exercising,High,Luxurious,Monthly,14,0.36,"['Storage Organizers', 'Outdoor Patio Chair']"
32,Member,Practical,Large House,Durability,Move,Gaming,High,Modern,Occasionally,54,-0.97,"['Compact Shoe Rack', 'Sliding Door Wardrobe']"
33,Member,Trendy,Large House,Durability,Relax at home,Reading,High,Cozy,Monthly,66,0.68,"['Minimalist Sectional Sofa', 'Rattan Armchair']"
34,Normal,Minimalist,Medium House,Durability,Travel,Watching TV,Medium,Modern,Monthly,94,-0.39,"['Portable Furniture', 'Travel Bags']"
35,Member,Minimalist,Small Apartment,Durability,Move,Reading,High,Cozy,Occasionally,88,0.19,"['Compact Shoe Rack', 'Sliding Door Wardrobe']"
36,Member,Minimalist,Small Apartment,Comfort,Relax at home,Watching TV,Medium,Minimalist,Monthly,10,0.13,"['Minimalist Sectional Sofa', 'Chaise Sofas']"
37,Normal,Practical,Medium House,Comfort,Travel,Watching TV,Low,Cozy,Rarely,99,-0.32,"['Travel Bags', 'Foldable Sun Lounger']"
38,Normal,Minimalist,Medium House,Comfort,Move,Exercising,High,Modern,Rarely,0,-0.11,"['6-Piece Outdoor Dining Set', 'Sliding Door Wardrobe']"
39,Member,Practical,Small Apartment,Durability,Work from home,Gaming,Low,Cozy,Occasionally,17,-0.3,"['Padded Dining Chair', 'Adjustable Standing Desk']"
40,Normal,Minimalist,Large House,Durability,Relax at home,Gaming,Low,Minimalist,Rarely,31,0.35,"['2 Seater sofa', 'Rattan Armchair']"
41,Member,Trendy,Large House,Durability,Work from home,Gaming,Low,Luxurious,Rarely,63,0.89,"['Smart Office Desk', 'Adjustable Standing Desk']"
42,Normal,Trendy,Medium House,Aesthetic,Travel,Exercising,Low,Modern,Occasionally,2,0.06,"['Travel Bags', 'Storage Organizers']"
43,Normal,Practical,Large House,Aesthetic,Work from home,Reading,High,Minimalist,Rarely,25,0.68,"['Adjustable Standing Desk', 'Rustic Bookshelf']"
44,Normal,Minimalist,Medium House,Comfort,Relax at home,Exercising,Low,Minimalist,Monthly,7,0.84,"['Upholstered armchair', 'Chaise Sofas']"
45,Normal,Practical,Small Apartment,Comfort,Move,Exercising,Low,Minimalist,Occasionally,7,-0.73,"['6-Piece Outdoor Dining Set', 'Compact Shoe Rack']"
46,Member,Minimalist,Medium House,Aesthetic,Work from home,Watching TV,Medium,Minimalist,Monthly,55,0.89,"['Adjustable Standing Desk', 'Smart Office Desk']"
47,Normal,Practical,Small Apartment,Aesthetic,Travel,Reading,Medium,Minimalist,Monthly,21,0.51,"['Travel Bags', 'Storage Organizers']"
48,Normal,Practical,Small Apartment,Comfort,Relax at home,Reading,Low,Minimalist,Monthly,35,0.7,"['Upholstered armchair', '2 Seater sofa']"
49,Normal,Minimalist,Small Apartment,Aesthetic,Relax at home,Reading,Medium,Minimalist,Occasionally,49,0.4,"['Chaise Sofas', 'Minimalist Sectional Sofa']"
50,Member,Practical,Medium House,Aesthetic,Work from home,Gaming,Low,Cozy,Monthly,47,-0.14,"['Rustic Bookshelf', 'Padded Dining Chair']"
51,Member,Practical,Small Apartment,Aesthetic,Work from home,Gaming,Medium,Cozy,Monthly,92,-0.02,"['Adjustable Standing Desk', 'Smart Office Desk']"
52,Member,Minimalist,Large House,Aesthetic,Relax at home,Gaming,Low,Minimalist,Rarely,24,-0.81,"['Rattan Armchair', 'Chaise Sofas']"
53,Normal,Trendy,Large House,Durability,Move,Exercising,High,Modern,Occasionally,92,-0.51,"['Compact Shoe Rack', 'Sliding Door Wardrobe']"
54,Member,Minimalist,Medium House,Durability,Travel,Reading,Medium,Luxurious,Occasionally,42,-0.94,"['Travel Bags', 'Storage Organizers']"
55,Member,Practical,Large House,Aesthetic,Work from home,Watching TV,Medium,Luxurious,Rarely,76,0.13,"['Padded Dining Chair', 'Smart Office Desk']"
56,Member,Practical,Medium House,Aesthetic,Relax at home,Watching TV,Low,Minimalist,Monthly,34,0.66,"['Luxury Bean Bag', 'Chaise Sofas']"
57,Normal,Trendy,Large House,Aesthetic,Travel,Reading,Medium,Luxurious,Monthly,9,0.82,"['Travel Bags', 'Outdoor Patio Chair']"
58,Member,Minimalist,Large House,Comfort,Travel,Exercising,Medium,Luxurious,Rarely,100,-0.62,"['Foldable Sun Lounger', 'Portable Furniture']"
59,Normal,Practical,Medium House,Aesthetic,Relax at home,Exercising,Medium,Minimalist,Occasionally,4,0.02,"['Chaise Sofas', 'Luxury Bean Bag']"
60,Member,Trendy,Small Apartment,Aesthetic,Travel,Gaming,Medium,Modern,Occasionally,26,-0.0,"['Storage Organizers', 'Portable Furniture']"
61,Member,Trendy,Small Apartment,Durability,Move,Watching TV,High,Minimalist,Monthly,66,0.21,"['Ottoman Storage Bench', '6-Piece Outdoor Dining Set']"
62,Normal,Practical,Medium House,Comfort,Relax at home,Reading,Low,Minimalist,Monthly,61,0.59,"['Queen Bed with Storage', '2 Seater sofa']"
63,Normal,Trendy,Medium House,Aesthetic,Work from home,Gaming,Medium,Luxurious,Rarely,99,0.91,"['Adjustable Standing Desk', 'Smart Office Desk']"
64,Member,Trendy,Small Apartment,Durability,Relax at home,Exercising,Low,Luxurious,Occasionally,32,-0.55,"['Upholstered armchair', 'Queen Bed with Storage']"
65,Member,Practical,Medium House,Aesthetic,Move,Reading,Medium,Minimalist,Rarely,46,0.5,"['6-Piece Outdoor Dining Set', 'Ottoman Storage Bench']"
66,Normal,Practical,Small Apartment,Aesthetic,Travel,Reading,Medium,Modern,Monthly,34,-0.35,"['Portable Furniture', 'Outdoor Patio Chair']"
67,Normal,Minimalist,Small Apartment,Durability,Relax at home,Reading,High,Modern,Rarely,5,0.49,"['Minimalist Sectional Sofa', 'Luxury Bean Bag']"
68,Member,Practical,Small Apartment,Durability,Work from home,Gaming,High,Luxurious,Rarely,49,0.63,"['Smart Office Desk', 'Adjustable Standing Desk']"
69,Member,Practical,Large House,Comfort,Work from home,Watching TV,Low,Minimalist,Rarely,47,-0.2,"['Rustic Bookshelf', 'Smart Office Desk']"
70,Member,Trendy,Medium House,Aesthetic,Work from home,Reading,Medium,Modern,Monthly,26,0.19,"['Padded Dining Chair', 'Rustic Bookshelf']"
71,Normal,Minimalist,Medium House,Comfort,Work from home,Watching TV,High,Minimalist,Occasionally,22,-0.09,"['Padded Dining Chair', 'Adjustable Standing Desk']"
72,Normal,Practical,Medium House,Aesthetic,Relax at home,Watching TV,Medium,Luxurious,Rarely,90,0.08,"['2 Seater sofa', 'Luxury Bean Bag']"
73,Normal,Practical,Small Apartment,Durability,Travel,Gaming,Low,Luxurious,Occasionally,94,-0.75,"['Storage Organizers', 'Foldable Sun Lounger']"
74,Member,Practical,Large House,Aesthetic,Travel,Reading,Medium,Minimalist,Rarely,86,0.2,"['Portable Furniture', 'Foldable Sun Lounger']"
75,Member,Minimalist,Large House,Comfort,Work from home,Exercising,Medium,Luxurious,Occasionally,93,0.51,"['Adjustable Standing Desk', 'Smart Office Desk']"
76,Member,Minimalist,Medium House,Durability,Relax at home,Exercising,High,Minimalist,Occasionally,51,-0.84,"['2 Seater sofa', 'Queen Bed with Storage']"
77,Member,Practical,Small Apartment,Durability,Work from home,Watching TV,High,Luxurious,Monthly,67,-0.01,"['Padded Dining Chair', 'Rustic Bookshelf']"
78,Normal,Minimalist,Small Apartment,Durability,Relax at home,Exercising,Medium,Cozy,Occasionally,31,0.62,"['Luxury Bean Bag', '2 Seater sofa']"
79,Member,Minimalist,Small Apartment,Durability,Travel,Watching TV,High,Modern,Occasionally,32,-0.68,"['Foldable Sun Lounger', 'Storage Organizers']"
80,Member,Practical,Medium House,Durability,Move,Gaming,High,Minimalist,Rarely,64,0.41,"['Ottoman Storage Bench', '6-Piece Outdoor Dining Set']"
81,Normal,Minimalist,Small Apartment,Durability,Travel,Reading,Low,Luxurious,Rarely,5,0.01,"['Storage Organizers', 'Outdoor Patio Chair']"
82,Normal,Practical,Large House,Aesthetic,Relax at home,Reading,High,Modern,Occasionally,16,0.93,"['2 Seater sofa', 'Rattan Armchair']"
83,Normal,Minimalist,Large House,Comfort,Work from home,Exercising,High,Minimalist,Rarely,50,-0.2,"['Adjustable Standing Desk', 'Smart Office Desk']"
84,Normal,Trendy,Medium House,Aesthetic,Relax at home,Gaming,Medium,Luxurious,Rarely,43,-0.04,"['2 Seater sofa', 'Chaise Sofas']"
85,Member,Practical,Small Apartment,Aesthetic,Travel,Reading,Low,Cozy,Occasionally,35,-0.5,"['Outdoor Patio Chair', 'Storage Organizers']"
86,Normal,Minimalist,Large House,Durability,Relax at home,Watching TV,Medium,Luxurious,Occasionally,15,-0.8,"['Upholstered armchair', 'Luxury Bean Bag']"
87,Normal,Practical,Small Apartment,Aesthetic,Travel,Gaming,High,Modern,Monthly,69,0.48,"['Portable Furniture', 'Storage Organizers']"
88,Normal,Minimalist,Medium House,Durability,Travel,Watching TV,High,Luxurious,Monthly,71,0.21,"['Travel Bags', 'Portable Furniture']"
89,Normal,Practical,Small Apartment,Comfort,Travel,Exercising,Low,Minimalist,Occasionally,45,0.56,"['Portable Furniture', 'Travel Bags']"
90,Member,Practical,Large House,Aesthetic,Travel,Exercising,Medium,Minimalist,Occasionally,17,-0.12,"['Portable Furniture', 'Travel Bags']"
91,Normal,Practical,Large House,Aesthetic,Relax at home,Exercising,High,Modern,Rarely,50,0.07,"['2 Seater sofa', 'Queen Bed with Storage']"
92,Normal,Minimalist,Medium House,Aesthetic,Travel,Reading,Medium,Cozy,Monthly,11,0.45,"['Portable Furniture', 'Foldable Sun Lounger']"
93,Member,Minimalist,Large House,Comfort,Work from home,Gaming,High,Luxurious,Monthly,13,0.15,"['Rustic Bookshelf', 'Smart Office Desk']"
94,Member,Trendy,Small Apartment,Comfort,Work from home,Gaming,Low,Luxurious,Occasionally,5,-0.23,"['Rustic Bookshelf', 'Adjustable Standing Desk']"
95,Member,Practical,Large House,Aesthetic,Relax at home,Watching TV,High,Minimalist,Rarely,84,0.06,"['Chaise Sofas', '2 Seater sofa']"
96,Normal,Trendy,Large House,Durability,Relax at home,Watching TV,Medium,Luxurious,Rarely,67,-0.14,"['Chaise Sofas', 'Rattan Armchair']"
97,Normal,Trendy,Large House,Aesthetic,Work from home,Watching TV,High,Luxurious,Occasionally,54,0.36,"['Padded Dining Chair', 'Adjustable Standing Desk']"
98,Member,Minimalist,Medium House,Durability,Move,Gaming,Medium,Modern,Monthly,85,-0.41,"['Compact Shoe Rack', 'Sliding Door Wardrobe']"
99,Normal,Practical,Large House,Comfort,Work from home,Gaming,High,Luxurious,Rarely,24,0.12,"['Adjustable Standing Desk', 'Smart Office Desk']"
100,Normal,Minimalist,Small Apartment,Aesthetic,Move,Exercising,Medium,Cozy,Occasionally,35,-0.51,"['6-Piece Outdoor Dining Set', 'Ottoman Storage Bench']"
